Name,Country,Description,Category,Url,Github,Related,,,
Sahara Health,Nigeria,"A suite of data-driven web and SMS-based tools that help citizens check everything from medicine prices and hospital services, to whether their doctor is a quack or not",Health,http://health.saharareporters.com,https://github.com/CodeForAfrica-SCRAPERS/healthtools_ng,,,,
afriLEAKS,Kenya,An encrypted platform that helps whistleblowers anonymously communicate with journalists / civic watchdogs.,News / Journalistic,https://afrileaks.org,https://github.com/CodeForAfrica/afriLEAKS-website,,,,
Biscuit Index,Kenya,Shows how public budget data can be used to help citizens better understand how governments spend tax money,,https://biscuitindex.codeforkenya.org/,https://github.com/CodeForAfricaLabs/BiscuitIndex,,,,
CitizenReporter,Kenya,"An easy to use Android app for citizen journalists, to help them record video / photo / audio reports from the field.",News,http://citizenreporter.codeforafrica.net,https://github.com/CodeForAfrica/CitizenReporter-Android,,,,
codeafrica.org,Kenya,Scripts to gleam African github usage,,http://codeafrica.org,https://github.com/codeafrica/github-africa,,,,
FrontlineSMS,Kenya,"Open Source messaging software, built in Nairobi",,https://cloud.frontlinesms.com/login/auth,https://github.com/frontlinesms/frontlinesms2,,,,
GotToVote,Kenya,Enabling citizens to get to the ballot box informed and ready,Governance,https://gottovote.cc,https://github.com/CodeForAfrica/GotToVote,,,,
Grano,Kenya,An open source tool for journalists and researchers who want to track networks of political or economic interest.,,http://granoproject.org,https://github.com/CodeForAfrica/grano,,,,
HealthTools,Kenya,"A suite of data-driven web and SMS-based tools that help citizens check everything from medicine prices and hospital services, to whether their doctor is a quack or not",,http://health.the-star.co.ke,https://github.com/CodeForAfrica/HealthTools.KE-theStarHealth,,,,
Mzalendo,Kenya,Non-partisan projects that seeks to promote greater public voice and enhance public participation in politics by providing relevant information about the National Assembly and Senate's activities.,,http://info.mzalendo.com,https://www.mysociety.org/democracy/pombola/,,,,
openAFRICA,Kenya,Africa's largest independent repository of open data,,https://africaopendata.org,https://github.com/CodeForAfricaLabs/openAFRICA,,,,
OpenDuka,Kenya,Open Duka is a project designed by the Open Institute that will provide a freely accessible database of information on Kenyan entities,,http://openduka.org,https://github.com/OpenInstitute/OpenDuka,,,,18
Pesapal,Kenya,Library for processing payments using the Pesapal Gateway (not actively maintained),,https://www.pesapal.com,https://github.com/okal/pesapal.py,,,,
