PROJECT NAME,ORIGIN COUNTRY,COUNTRIES WHERE DEPLOYED,PROJECT DESCRIPTION,PROJECT PARTNER 1 (ORGS),PROJECT PARTNER 2 (ORGS),PROJECT PARTNER 3 (ORGS),PROJECT PARTNER 4 (ORGS),PROJECT PARTNER 5 (ORGS),PROJECT PARTNER 6 (ORGS),PROJECT DEVELOPER 1 (PEOPLE),PROJECT DEVELOPER 2 (PEOPLE),PROJECT DEVELOPER 3 (PEOPLE),PROJECT DEVELOPER 4 (PEOPLE),PROJECT DEVELOPER 5 (PEOPLE),PROJECT DEVELOPER 6 (PEOPLE),PROJECT DEVELOPER 7 (PEOPLE),PROJECT DEVELOPER 8 (PEOPLE),PROJECT DEVELOPER 9 (PEOPLE),PROJECT DEVELOPER 10 (PEOPLE),PROJECT OWNER (ORGANISATION),ACCESS,SECTOR,PROJECT WEBSITE,PROJECT GITHUB REPO,PROJECT WIKI,PROJECT STATUS,USERS
#GreenAlert,Kenya,South Africa,Tool that helps users to find out what Environmental Impact Assessments (EIAs) are happening in South African neighbourhoods.,Code for Africa,Open Society Foundation for South Africa (OSF-SA),ScienceLink,,,,David Lemaiyan,Taylor Otwell,Franz Liedke,Graham Campbell,Dayle Rees,Phill Sparks,Colin Viebrok,Tobias O.,,,Oxpeckers,Open Source,Natural Resources,https://greenalert.oxpeckers.org/,https://github.com/CodeForAfrica/AlertME,,Active,
#MineAlert,South Africa,South Africa,"Provides a centralised platform for users to access, track and share information and documents on mining applications and licences.",Code for Africa,Open Society Foundation for South Africa (OSF-SA),ScienceLink,,,,Taylor Otwell,David Lemaiyan,Franz Liedke,Graham Campbell,Dayle Rees,Phill Sparks,Colin Viebrok,Tobias O.,,,Oxpeckers,Open Source,Natural Resources,https://mine-alert.oxpeckers.org/#/home,,,Active,
2017 Daily News Tanzania,Tanzania,Tanzania,2017 article scrapes for Daily News (Tanzania).,,,,,,,,,,,,,,,,,,Open Source,Transparency,https://github.com/newstools/2017-daily-news-tanzania,https://github.com/newstools/2017-daily-news-tanzania,,Active,
African University Presses,South Africa,,Interactive map giving an overview of African university presses with details about their publications and online presence.,,,,,,,Guus Hoekman,,,,,,,,,,,Open Source,Education,http://www.africanminds.co.za/african-university-presses/,https://github.com/code4sa/african-university-presses,,Dormant,
africanCOMMONS,Tanzania,Tanzania,"Showcase of re-useable, and available civic tech tools built across Africa and the people & organisations building them.",The World Bank - Africa,Data Zetu,Making All Voices Count,ICFJ (International Center for Journalists),Code for Africa,,David Lemaiyan,Kwasi Gachie,Soila Kenya,Joseph Luvanda,CasKer,Evelyn Muthoni,,,,,Code for Tanzania,Open Source,Governance,https://commons.africa,https://github.com/CodeForAfrica/commons.AFRICA,,Active,
africanSPENDING,Kenya,"Kenya, Nigeria, Tanzania",Initiative that maps out the ways in which public data can be used to improve the way citizens understand how their governments spend public money.,Code for Africa,,,,,,Friedrich Lindenberg,David Lemaiyan,,,,,,,,,Code for Africa,Open Source,Governance,http://www.africanspending.org/library/index.html,https://github.com/CodeForAfrica/AfricanSpending,,Active,
afriLEAKS,Kenya,Kenya,An encrypted platform that helps whistleblowers anonymously communicate with journalists / civic watchdogs.,Hivos,ANCIR,,,,,Serah Rono,David Lemaiyan,Friedrich Lindenberg,Justin Arenstein,,,,,,,Code for Africa,Open Source,Transparency,https://afrileaks.org,https://github.com/CodeForAfrica/afriLEAKS-website,,Active,
AfyaMap,Tanzania,Tanzania,Visualized map of Tanzania's health initiatives.,,,,,,,Jumagreens,,,,,,,,,,,Open Source,Health,http://afyamap.org,https://github.com/Jumagreens/AfyaMap,,Dormant,
Alidade,United Kingdom,"Kenya, South Africa",Use Alidade to create a plan for finding technology tools that suit your social change project. Built on in-depth research in Kenya and South Africa. Designed for activists and social change organisations everywhere.,Making All Voices Count,,,,,,Alan Zard,thomwithoutanh,Maya Richman,Tin Geber,Zara Rahman,,,,,,The Engine Room,Open Source,Governance,https://alidade.tech/,https://github.com/the-engine-room/alidade,,Active,
Biscuit Index,Kenya,Kenya,Shows how public budget data can be used to help citizens better understand how governments spend tax money,Hivos,,,,,,Andrew Kamau,Huston Malande,Evelyn Muthoni,David Lemaiyan,,,,,,,Code for Kenya,Open Source,Governance,https://biscuitindex.codeforkenya.org/,https://github.com/CodeForAfricaLabs/BiscuitIndex,,Dormant,
